collectionCode,scientificName,identifiedBy,verbatimIdentification,identificationRemarks,identificationQualifier,identificationReferences,year,month,day,recordedBy,otherCatalogNumbers,countryCode,stateProvince,county,verbatimLocality,verbatimCoordinates,verbatimElevation,habitat,9069,catalogNumber,occurrenceID,basisOfRecord
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch.,E. Fuertes,Abietinella abietina (Hedw.) Fleisch.,,,,1971,3,24,E. Fuertes.,BH408,ES,Te,,Los Bronchales (Teruel).,,,Formando tapiz en el suelo del robledal.,,1001-A,SANT:SANT-Bryo:1001-A,PreservedSpecimen
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch.,C. Casas,Abietinella abietina (Hedw.) Fleisch.,,,,1972,4,2,M. Ladero.,BH515,ES,Cu,,Cerca de Uña (Cuenca),,,Laderas con Buxus sempervirens .,,1002-A,SANT:SANT-Bryo:1002-A,PreservedSpecimen
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch. var. hystricosa (Mitt.) Sakurai,P. Heras,Abietinella abietina (Hedw.) Fleisch. ssp. histricosa Mitt.,,cf.,,1983,12,31,P. Heras.,BH751,ES,Vi,,Hueto Arriba (Alava).,WN1750,40,Suelo. Calizas.,,1003-A,SANT:SANT-Bryo:1003-A,PreservedSpecimen
SANT-Bryo,"Acaulon dertosense Casas, Sérgio, Cros & Brugués ",C. Casas,"Acaulon dertosense Casas, Sérgio, Cros et Brugués",,,,1988,11,25,R.M.Ros y P.García-Zamora.,BH1189,ES,A,,Torrevieja (Alicante).,XH9706,0,"suelos desnudos, arenosos en el borde de una rambla.",,1004-A,SANT:SANT-Bryo:1004-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,C.Casas,Acaulon triquetrum (Spruce)C.Müll.,,,,1973,1,8,C. Casas.,BH448,ES,T,,Villalba de los Arcos (Tarragona).,,,Suelo arcilloso calcáreo descubierto.,,1005-A,SANT:SANT-Bryo:1005-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,E. Fuertes,Acaulon triquetrum (Spruce.) C. Müll.,,,,1973,1,20,E. Fuertes.,BH841,ES,To,,Añover de Tajo (Toledo),,,Cerros yesíferos.,,1006-A,SANT:SANT-Bryo:1006-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,P.Heras,Acaulon triquetrum (Spruce) C.Müll.,,,,1986,2,21,P. Heras.,BH985,ES,Vi,,Navaridas (Arava).,30TWN2910,540,"Tierras removidas, sustrato calcáreo.",,1007-A,SANT:SANT-Bryo:1007-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,R.M.Ros,Acaulon triquetrum (Spruce)C. Müll.,,,,1985,3,16,R.M. Ros.,BH904,ES,Mu,,Caravaca (Murcia).,30SXH9920,700,"Yesos masivos, suelo arcilloso.",,1008-A,SANT:SANT-Bryo:1008-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,R.M.Ros,Acaulon triquetrum (Spruce)C. Müll.,,,,1986,10,26,R.M.Ros.,BH1170,ES,ES -,,Puerta de Moratalla.,WH9130,700,Suelo arcilloso en borde de camino.,,1009-A,SANT:SANT-Bryo:1009-A,PreservedSpecimen
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,V. Canalís.,Acaulon triquetrum (Spruce)C.Müll.,,,,1986,2,14,V. Canalís.,BH1210,ES,B,,"Garraf, (Barcelona).",31TDF1069,30,Suelo arcilloso sobre roca calcárea. .,,1010-A,SANT:SANT-Bryo:1010-A,PreservedSpecimen
SANT-Bryo,Acrocladium cuspidatum (Hedw.) Lindb.,J.Reinoso,Acrocladium cuspidatum (Hedw.)Lindb.,,,,1979,9,23,J.Reinoso.,,ES,C,,Caaveiro (A Coruña),,,Tierra húmeda. Robledal.,,1011-A,SANT:SANT-Bryo:1011-A,PreservedSpecimen
SANT-Bryo,Adelanthus decipens (Hook.) Mitt.,J.Reinoso,Adelanthus decipiens (Hook.)Mitt.,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-A,SANT:SANT-Bryo:1012-A,PreservedSpecimen
SANT-Bryo,Thuidium tamariscinum (Hedw.) Schimp.,J.Reinoso,,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-B,SANT:SANT-Bryo:1012-B,PreservedSpecimen
